Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
636,223,30421,42529,Wednesday,9
637,223,30421,42530,Thursday,7
638,223,30421,42530,Thursday,7
639,223,30421,42530,Thursday,7
640,223,30421,42530,Thursday,7
641,223,30421,42530,Thursday,7
642,223,30421,42530,Thursday,7
643,223,30421,42530,Thursday,7
644,223,30421,42530,Tuesday,8
645,223,30421,42530,Tuesday,8
646,223,30421,42530,Tuesday,8
647,223,30421,42530,Tuesday,8
648,223,30421,42530,Tuesday,8
649,223,30421,42530,Tuesday,8
650,223,30421,42530,Tuesday,8
651,223,30421,42530,Tuesday,8
652,223,30421,42530,Wednesday,17
653,223,30421,42530,Wednesday,17
654,223,30421,42530,Wednesday,17
655,223,30421,42530,Wednesday,17
656,223,30421,42530,Wednesday,17
657,223,30421,42530,Wednesday,17
658,223,30421,42530,Wednesday,17
659,223,30421,42530,Wednesday,17
660,223,30421,42530,Wednesday,17
661,223,30421,42530,Wednesday,17
662,223,30421,42530,Wednesday,17
663,223,30421,42530,Wednesday,17
664,223,30421,42530,Wednesday,17
665,223,30421,42530,Wednesday,17
666,223,30421,42530,Wednesday,17
667,223,30421,42530,Wednesday,17
668,223,30421,42530,Wednesday,17
669,223,30422,42122,Wednesday,3
670,223,30422,42122,Wednesday,3
671,223,30422,42122,Wednesday,3
672,223,30422,42529,Thursday,9
673,223,30422,42529,Thursday,9
674,223,30422,42529,Thursday,9
675,223,30422,42529,Thursday,9
676,223,30422,42529,Thursday,9
677,223,30422,42529,Thursday,9
678,223,30422,42529,Thursday,9
679,223,30422,42529,Thursday,9
680,223,30422,42529,Thursday,9
681,223,30422,42529,Tuesday,5
682,223,30422,42529,Tuesday,5
683,223,30422,42529,Tuesday,5
684,223,30422,42529,Tuesday,5
685,223,30422,42529,Tuesday,5
686,223,30422,42529,Wednesday,6
687,223,30422,42529,Wednesday,6
688,223,30422,42529,Wednesday,6
689,223,30422,42529,Wednesday,6
690,223,30422,42529,Wednesday,6
691,223,30422,42529,Wednesday,6
692,223,30422,42530,Thursday,8
693,223,30422,42530,Thursday,8
694,223,30422,42530,Thursday,8
695,223,30422,42530,Thursday,8
696,223,30422,42530,Thursday,8
697,223,30422,42530,Thursday,8
698,223,30422,42530,Thursday,8
699,223,30422,42530,Thursday,8
700,223,30422,42530,Tuesday,2
701,223,30422,42530,Tuesday,2
702,223,30422,42530,Wednesday,18
703,223,30422,42530,Wednesday,18
704,223,30422,42530,Wednesday,18
705,223,30422,42530,Wednesday,18
706,223,30422,42530,Wednesday,18
707,223,30422,42530,Wednesday,18
708,223,30422,42530,Wednesday,18
709,223,30422,42530,Wednesday,18
710,223,30422,42530,Wednesday,18
711,223,30422,42530,Wednesday,18
712,223,30422,42530,Wednesday,18
713,223,30422,42530,Wednesday,18
714,223,30422,42530,Wednesday,18
715,223,30422,42530,Wednesday,18
716,223,30422,42530,Wednesday,18
717,223,30422,42530,Wednesday,18
718,223,30422,42530,Wednesday,18
719,223,30422,42530,Wednesday,18
720,223,34023,30422,Thursday,3
721,223,34023,30422,Thursday,3
722,223,34023,30422,Thursday,3
723,223,36443,30422,Wednesday,4
724,223,36443,30422,Wednesday,4
725,223,36443,30422,Wednesday,4
726,223,36443,30422,Wednesday,4
727,223,38465,30423,Tuesday,2
728,223,38465,30423,Tuesday,2
729,223,40088,30422,Thursday,2
730,223,40088,30422,Thursday,2
731,223,40088,30422,Wednesday,2
732,223,40088,30422,Wednesday,2
733,223,40089,30422,Thursday,2
734,223,40089,30422,Thursday,2
735,223,42530,30422,Thursday,3
736,223,42530,30422,Thursday,3
737,223,42530,30422,Thursday,3
738,223,42530,30422,Tuesday,2
739,223,42530,30422,Tuesday,2
740,223,42530,30422,Wednesday,2
741,223,42530,30422,Wednesday,2
748,231,21285,21628,Monday,7
749,231,21285,21628,Monday,7
750,231,21285,21628,Monday,7
751,231,21285,21628,Monday,7
752,231,21285,21628,Monday,7
753,231,21285,21628,Monday,7
754,231,21285,21628,Monday,7
755,231,21285,21628,Tuesday,6
756,231,21285,21628,Tuesday,6
757,231,21285,21628,Tuesday,6
758,231,21285,21628,Tuesday,6
759,231,21285,21628,Tuesday,6
760,231,21285,21628,Tuesday,6
761,231,21285,25818,Sunday,2
762,231,21285,25818,Sunday,2
763,231,21285,26204,Monday,3
764,231,21285,26204,Monday,3
765,231,21285,26204,Monday,3
766,231,21285,31284,Monday,4
767,231,21285,31284,Monday,4
768,231,21285,31284,Monday,4
769,231,21285,31284,Monday,4
770,231,21285,42570,Monday,2
771,231,21285,42570,Monday,2
772,231,21285,56861,Sunday,2
773,231,21285,56861,Sunday,2
774,231,21286,21628,Monday,2
775,231,21286,21628,Monday,2
776,231,21286,65652,Tuesday,2
777,231,21286,65652,Tuesday,2
778,231,21307,56545,Sunday,2
779,231,21307,56545,Sunday,2
780,231,21628,21285,Monday,2
781,231,21628,21285,Monday,2
782,231,21628,21285,Sunday,3
783,231,21628,21285,Sunday,3
784,231,21628,21285,Sunday,3
785,231,21628,21285,Tuesday,2
786,231,21628,21285,Tuesday,2
787,231,21628,21655,Monday,3
788,231,21628,21655,Monday,3
789,231,21628,21655,Monday,3
790,231,21628,21655,Tuesday,6
791,231,21628,21655,Tuesday,6
792,231,21628,21655,Tuesday,6
793,231,21628,21655,Tuesday,6
794,231,21628,21655,Tuesday,6
795,231,21628,21655,Tuesday,6
796,231,29701,21655,Monday,2
797,231,29701,21655,Monday,2
997,276,64462,76704,Monday,2
998,276,64462,76704,Monday,2
999,276,64462,76704,Tuesday,3
1000,276,64462,76704,Tuesday,3
1001,276,64462,76704,Tuesday,3
1002,276,74544,75866,Wednesday,3
1003,276,74544,75866,Wednesday,3
1004,276,74544,75866,Wednesday,3
1005,276,74544,77129,Tuesday,7
1006,276,74544,77129,Tuesday,7
1007,276,74544,77129,Tuesday,7
1008,276,74544,77129,Tuesday,7
1009,276,74544,77129,Tuesday,7
1010,276,74544,77129,Tuesday,7
1011,276,74544,77129,Tuesday,7
1012,276,74544,77129,Wednesday,6
1013,276,74544,77129,Wednesday,6
1014,276,74544,77129,Wednesday,6
1015,276,74544,77129,Wednesday,6
1016,276,74544,77129,Wednesday,6
1017,276,74544,77129,Wednesday,6
1018,276,74545,75866,Wednesday,3
1019,276,74545,75866,Wednesday,3
1020,276,74545,75866,Wednesday,3
1021,276,74548,75866,Wednesday,2
1022,276,74548,75866,Wednesday,2
1023,276,74548,77129,Tuesday,8
1024,276,74548,77129,Tuesday,8
1025,276,74548,77129,Tuesday,8
1026,276,74548,77129,Tuesday,8
1027,276,74548,77129,Tuesday,8
1028,276,74548,77129,Tuesday,8
1029,276,74548,77129,Tuesday,8
1030,276,74548,77129,Tuesday,8
1031,276,74548,77129,Wednesday,2
1032,276,74548,77129,Wednesday,2
1033,276,74549,77129,Wednesday,2
1034,276,74549,77129,Wednesday,2
1035,276,74972,77129,Tuesday,2
1036,276,74972,77129,Tuesday,2
1037,276,75867,74546,Tuesday,4
1038,276,75867,74546,Tuesday,4
1039,276,75867,74546,Tuesday,4
1040,276,75867,74546,Tuesday,4
1041,276,75867,74546,Wednesday,3
1042,276,75867,74546,Wednesday,3
1043,276,75867,74546,Wednesday,3
1044,276,76292,74544,Tuesday,3
1045,276,76292,74544,Tuesday,3
1046,276,76292,74544,Tuesday,3
1047,276,76292,74544,Wednesday,4
1048,276,76292,74544,Wednesday,4
1049,276,76292,74544,Wednesday,4
1050,276,76292,74544,Wednesday,4
1051,276,76292,74545,Tuesday,10
1052,276,76292,74545,Tuesday,10
1053,276,76292,74545,Tuesday,10
1054,276,76292,74545,Tuesday,10
1055,276,76292,74545,Tuesday,10
1056,276,76292,74545,Tuesday,10
1057,276,76292,74545,Tuesday,10
1058,276,76292,74545,Tuesday,10
1059,276,76292,74545,Tuesday,10
1060,276,76292,74545,Tuesday,10
1061,276,76292,74545,Wednesday,4
1062,276,76292,74545,Wednesday,4
1063,276,76292,74545,Wednesday,4
1064,276,76292,74545,Wednesday,4
1065,276,76292,74546,Monday,2
1066,276,76292,74546,Monday,2
1067,276,76292,74546,Tuesday,3
1068,276,76292,74546,Tuesday,3
1069,276,76292,74546,Tuesday,3
1070,276,76292,74546,Wednesday,7
1071,276,76292,74546,Wednesday,7
1072,276,76292,74546,Wednesday,7
1073,276,76292,74546,Wednesday,7
1074,276,76292,74546,Wednesday,7
