vehicle_id,repeat,fold,precision,best_alpha
181,0,0,0.7916666666666666,0.001
181,0,1,0.8055555555555556,0.001
181,0,2,0.8,0.001
181,0,3,0.7916666666666666,0.001
181,0,4,0.7708333333333334,0.001
181,0,5,0.78125,0.001
181,0,6,0.7708333333333334,0.001
181,0,7,0.7916666666666666,0.001
181,0,8,1.0,0.001
181,0,9,0.7916666666666666,0.001
181,1,0,0.8,0.001
181,1,1,0.6190476190476191,0.001
181,1,2,0.6296296296296295,0.001
181,1,3,1.0,0.001
181,1,4,1.0,0.001
181,1,5,0.775,0.001
181,1,6,0.6666666666666666,0.001
181,1,7,0.53125,0.001
181,1,8,1.0,0.001
181,1,9,1.0,0.001
181,2,0,1.0,0.001
181,2,1,0.7936507936507936,0.001
181,2,2,1.0,0.001
181,2,3,0.775,0.001
181,2,4,0.6,0.001
181,2,5,0.625,0.001
181,2,6,1.0,0.001
181,2,7,0.6,0.001
181,2,8,0.78125,0.001
181,2,9,1.0,0.001
181,3,0,1.0,0.001
181,3,1,0.4583333333333333,0.001
181,3,2,1.0,0.001
181,3,3,0.75,0.001
181,3,4,1.0,0.001
181,3,5,0.6,0.001
181,3,6,1.0,0.001
181,3,7,1.0,0.001
181,3,8,0.53125,0.001
181,3,9,0.775,0.001
181,4,0,0.5,0.001
181,4,1,1.0,0.001
181,4,2,0.7936507936507936,0.001
181,4,3,0.4107142857142857,0.001
181,4,4,1.0,0.001
181,4,5,1.0,0.001
181,4,6,0.7916666666666666,0.001
181,4,7,0.7916666666666666,0.001
181,4,8,1.0,0.001
181,4,9,1.0,0.001
181,5,0,0.8,0.001
181,5,1,0.8,0.001
181,5,2,1.0,0.001
181,5,3,0.775,0.001
181,5,4,0.6666666666666666,0.001
181,5,5,0.7678571428571428,0.001
181,5,6,1.0,0.001
181,5,7,0.775,0.001
181,5,8,1.0,0.001
181,5,9,0.625,0.001
181,6,0,0.6111111111111112,0.001
181,6,1,0.8,0.001
181,6,2,0.8055555555555556,0.001
181,6,3,0.78125,0.001
181,6,4,0.5833333333333333,0.001
181,6,5,0.775,0.001
181,6,6,1.0,0.001
181,6,7,1.0,0.001
181,6,8,0.7708333333333334,0.001
181,6,9,1.0,0.001
181,7,0,1.0,0.001
181,7,1,0.8,0.001
181,7,2,0.8055555555555556,0.001
181,7,3,0.7916666666666666,0.001
181,7,4,0.7708333333333334,0.001
181,7,5,0.7678571428571428,0.001
181,7,6,0.7916666666666666,0.001
181,7,7,0.8125,0.001
181,7,8,0.7708333333333334,0.001
181,7,9,0.775,0.001
181,8,0,0.6190476190476191,0.001
181,8,1,1.0,0.001
