,VehId,tile_ID_x,tile_ID_y,day_x,contagem
1969,213,52334,77129,Monday,2
2001,213,69505,76704,Saturday,3
2014,213,76705,44179,Monday,2
2040,213,77130,64463,Monday,3
2041,213,77130,64463,Sunday,2
2045,213,77130,69926,Sunday,2
2070,213,78354,69505,Saturday,4
2071,213,78354,69505,Sunday,8
2072,213,78354,69926,Saturday,2
2073,213,78354,78354,Monday,7
2102,218,35232,57370,Friday,2
2103,218,35232,64034,Friday,4
2115,218,36442,64033,Wednesday,2
2125,218,36443,64033,Thursday,3
2126,218,36443,64033,Wednesday,2
2127,218,36443,64034,Friday,2
2129,218,36443,64044,Thursday,2
2130,218,36443,64044,Wednesday,2
2212,218,68170,64033,Friday,2
2226,220,31283,62804,Monday,2
2229,220,31284,62804,Monday,2
2239,220,39305,62803,Saturday,2
2240,220,39305,62804,Monday,2
2241,220,39305,62804,Sunday,2
2271,220,48208,62803,Saturday,2
2281,220,56545,36875,Saturday,2
2283,220,56959,36875,Monday,2
2289,220,62795,36472,Saturday,2
2290,220,62795,36472,Sunday,2
2291,220,62795,36875,Monday,2
2292,220,62795,36875,Sunday,3
2303,220,62796,36875,Saturday,2
2304,220,62796,36875,Sunday,2
2306,220,62796,68170,Sunday,2
2318,220,64034,68170,Monday,2
2320,220,64034,68170,Sunday,2
2333,220,68170,62804,Saturday,3
2350,223,21933,21627,Thursday,2
2353,223,21934,21627,Thursday,2
2354,223,22308,21627,Thursday,2
2363,223,30421,34023,Thursday,3
2365,223,30421,34023,Wednesday,5
2372,223,30421,42529,Thursday,3
2374,223,30421,42529,Wednesday,9
2375,223,30421,42530,Thursday,7
2376,223,30421,42530,Tuesday,8
2377,223,30421,42530,Wednesday,17
2382,223,30422,42122,Wednesday,3
2383,223,30422,42529,Thursday,9
2384,223,30422,42529,Tuesday,5
2385,223,30422,42529,Wednesday,6
2386,223,30422,42530,Thursday,8
2387,223,30422,42530,Tuesday,2
2388,223,30422,42530,Wednesday,18
2390,223,34023,30422,Thursday,3
2407,223,36443,30422,Wednesday,4
2416,223,38465,30423,Tuesday,2
2417,223,40088,30422,Thursday,2
2419,223,40088,30422,Wednesday,2
2420,223,40089,30422,Thursday,2
2423,223,42530,30422,Thursday,3
2424,223,42530,30422,Tuesday,2
2425,223,42530,30422,Wednesday,2
2439,228,20542,26204,Friday,2
2440,228,20542,29700,Saturday,2
2530,228,50719,45819,Friday,2
2584,231,21285,21628,Monday,7
2586,231,21285,21628,Tuesday,6
2588,231,21285,25818,Sunday,2
2590,231,21285,26204,Monday,3
2591,231,21285,31284,Monday,4
2592,231,21285,42570,Monday,2
2596,231,21285,56861,Sunday,2
2600,231,21286,21628,Monday,2
2603,231,21286,65652,Tuesday,2
